text,x,y,width,paragraph_height,para_line_count,Avg_line_height,file_name
"Floating Rate Non-Cumulative Preferred Stock, Series A, par  MET PRA New York Stock Exchange",53.95000076,330.0669861,1504.349976,10.79901123,1,10.79901123,Sample documents\2022-MetLife-Annual-Report_website-version
value $0.01,123.5500031,340.8659973,1434.75,8.04901123,1,8.04901123,Sample documents\2022-MetLife-Annual-Report_website-version
"Depositary Shares, each representing a 1/1,000th interest in a  MET PRE New York Stock Exchange",54.25,348.9150085,1504.050049,10.49899292,1,10.49899292,Sample documents\2022-MetLife-Annual-Report_website-version
"share of 5.625% Non-Cumulative Preferred Stock, Series E",56.65000153,359.4140015,1501.650024,8.04901123,1,8.04901123,Sample documents\2022-MetLife-Annual-Report_website-version
"Depositary Shares, each representing a 1/1,000th interest in a  MET PRF New York Stock Exchange",54.25,367.4630127,1504.050049,11.24899292,1,11.24899292,Sample documents\2022-MetLife-Annual-Report_website-version
"share of 4.75% Non-Cumulative Preferred Stock, Series F",58.59999847,378.7120056,1499.699951,8.04901123,1,8.04901123,Sample documents\2022-MetLife-Annual-Report_website-version
Securities registered pursuant to Section 12(g) of the Act:,225.3999939,386.7609863,1332.900024,13.64898682,1,13.64898682,Sample documents\2022-MetLife-Annual-Report_website-version
"5.875% Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series D, par value $0.01 3.850% Fixed Rate Reset Non-Cumulative Preferred Stock, Series G, par value $0.01",178.1999969,400.4100037,1257.449951,22.70001221,1,22.70001221,Sample documents\2022-MetLife-Annual-Report_website-version
"Indicate by check mark if the registrant is a well-known seasoned issuer, as defined in Rule 405 of the Securities Act. Yes þ No ¨ Indicate by check mark if the registrant is not required to file reports pursuant to Section 13 or 15(d) of the Act. Yes ¨ No þ",67.5,423.1099854,1367.449951,20.29998779,1,20.29998779,Sample documents\2022-MetLife-Annual-Report_website-version
"Indicate by check mark whether the registrant: (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities Exchange Act of 1934 during the preceding 12 months (or for such shorter period that the registrant was required to file such reports), and (2) has been subject to such filing requirements for the past 90 days. Yes þ No ¨",67.5,443.4100037,1485.800049,10.8500061,1,10.8500061,Sample documents\2022-MetLife-Annual-Report_website-version
Indicate by check mark whether the registrant has submitted electronically every Interactive Data File required to be submitted pursuant to Rule 405 of Regulation S-T (§ 232.405 of this chapter) during the preceding 12 months (or for such shorter period that the registrant was required to submit such files). Yes þ No ¨,67.5,454.2600098,1464.800049,10.79998779,1,10.79998779,Sample documents\2022-MetLife-Annual-Report_website-version
"Indicate by check mark whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, a smaller reporting company, or an emerging growth company. See the definitions of “large accelerated filer,” “accelerated filer,” “smaller reporting company,” and “emerging growth company” in Rule 12b-2 of the Exchange Act.",63,465.0599976,1483.099976,10.8500061,1,10.8500061,Sample documents\2022-MetLife-Annual-Report_website-version
Large accelerated filer þ Accelerated filer  ☐ Non-accelerated filer  ☐ Smaller reporting company ☐ Emerging growth company ☐,52.15000153,475.9100037,1496.150024,21.64099121,1,21.64099121,Sample documents\2022-MetLife-Annual-Report_website-version
"If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ¨",67.5,497.5509949,1488.400024,9.799987793,1,9.799987793,Sample documents\2022-MetLife-Annual-Report_website-version
Indicate by check mark whether the registrant has filed a report on and attestation to its management’s assessment of the effectiveness of its internal control over financial reporting under Section 404(b) of the Sarbanes-Oxley Act (15 U.S.C. 7262(b)) by the registered public accounting firm that prepared or issued its audit report. ☑,67.5,507.3510132,1478.050049,9.361022949,1,9.361022949,Sample documents\2022-MetLife-Annual-Report_website-version
"If securities are registered pursuant to Section 12(b) of the Act, indicate by check mark whether the financial statements of the registrant included in the filing reflect the",67.5,516.7119751,1490.800049,8.098999023,1,8.098999023,Sample documents\2022-MetLife-Annual-Report_website-version
correction of an error to previously issued financial statements. ¨,49.5,524.8109741,1508.800049,8.598999023,1,8.598999023,Sample documents\2022-MetLife-Annual-Report_website-version
Indicate by check mark whether any of those error corrections are restatements that required a recovery analysis of incentive-based compensation received by any of the registrant’s executive officers during the relevant recovery period pursuant to §240.10D-1(b). ¨,67.5,533.4099731,1472.949951,8.049987793,1,8.049987793,Sample documents\2022-MetLife-Annual-Report_website-version
Indicate by check mark whether the registrant is a shell company (as defined in Rule 12b-2 of the Exchange Act). Yes ☐ No þ,67.5,541.460022,1490.800049,12.31097412,1,12.31097412,Sample documents\2022-MetLife-Annual-Report_website-version
"The aggregate market value of the voting and non-voting common equity held by non-affiliates of the registrant at June 30, 2022 was approximately $50.1 billion. At February 14, 2023, 774,362,092 shares of the registrant’s common stock were outstanding.",67.5,553.7709961,1453.300049,11.29998779,1,11.29998779,Sample documents\2022-MetLife-Annual-Report_website-version
DOCUMENTS INCORPORATED BY REFERENCE,219.6999969,565.0709839,1338.599976,12.12402344,1,12.12402344,Sample documents\2022-MetLife-Annual-Report_website-version
"Part III of this Form 10-K incorporates by reference certain information from the registrant’s definitive proxy statement for the Annual Meeting of Shareholders to be held on June 20, 2023, to be filed by the registrant with the Securities and Exchange Commission pursuant to Regulation 14A not later than 120 days after the year ended December 31, 2022.",67.5,56,1485.800049,8.400001526,1,8.400001526,Sample documents\2022-MetLife-Annual-Report_website-version
Table of Contents,267.9500122,49.19900131,265.8999634,31.34900284,1,31.34900284,Sample documents\2022-MetLife-Annual-Report_website-version
Page Part I,294.6499939,80.54799652,239.1999817,29.5,2,14.75,Sample documents\2022-MetLife-Annual-Report_website-version
Item 1.  Business 4 Item 1A.  Risk Factors 33 Item 1B.  Unresolved Staff Comments 47 Item 2.  Properties 47 Item 3. Legal Proceedings 47 Item 4. Mine Safety Disclosures 47,67.5,110.0479965,463.1500244,86.09999847,6,14.34999975,Sample documents\2022-MetLife-Annual-Report_website-version
Part II,292.8999939,196.147995,240.9499817,22.49900818,1,22.49900818,Sample documents\2022-MetLife-Annual-Report_website-version
"Item 5. Market  for  Registrant’s  Common  Equity,  Related  Stockholder  Matters  and  Issuer",67.5,218.6470032,466.3499756,14.19900513,1,14.19900513,Sample documents\2022-MetLife-Annual-Report_website-version
Purchases of Equity Securities 48 Item 6. Reserved 50 Item 7. Management’s  Discussion  and  Analysis  of  Financial  Condition  and  Results  of,67.5,232.845993,463.1500244,38.55000305,3,12.85000102,Sample documents\2022-MetLife-Annual-Report_website-version
Operations 51 Item 7A. Quantitative and Qualitative Disclosures About Market Risk 136 Item 8. Financial Statements and Supplementary Data 144 Item 9. Changes  in  and  Disagreements  With  Accountants  on  Accounting  and  Financial,67.5,271.3959961,465.6500244,51.6000061,4,12.90000153,Sample documents\2022-MetLife-Annual-Report_website-version
Disclosure 312 Item 9A. Controls and Procedures 312 Item 9B. Other Information 314 Item 9C.  Disclosure Regarding Foreign Jurisdictions that Prevent Inspections 314,67.5,322.9960022,465.6500244,51.6499939,4,12.91249847,Sample documents\2022-MetLife-Annual-Report_website-version
Part III,291.1499939,374.6459961,242.6999817,23.29901123,1,23.29901123,Sample documents\2022-MetLife-Annual-Report_website-version
"Item 10. Directors, Executive Officers and Corporate Governance 314 Item 11. Executive Compensation 314 Item 12. Security  Ownership  of  Certain  Beneficial  Owners  and  Management  and  Related",67.5,397.9450073,465.6500244,43.29998779,3,14.43332926,Sample documents\2022-MetLife-Annual-Report_website-version
"Stockholder Matters 314 Item 13. Certain Relationships and Related Transactions, and Director Independence 317 Item 14. Principal Accountant Fees and Services 317",67.5,441.2449951,465.6500244,38.55001831,3,12.8500061,Sample documents\2022-MetLife-Annual-Report_website-version
Part IV,291.3999939,479.7950134,242.4499817,16.24899292,1,16.24899292,Sample documents\2022-MetLife-Annual-Report_website-version
Item 15. Exhibits and Financial Statement Schedules 318 Item 16. Form 10-K Summary 318,67.5,496.0440063,465.6500244,29.04998779,2,14.5249939,Sample documents\2022-MetLife-Annual-Report_website-version
Exhibit Index 319 Signatures 329,67.5,525.0939941,465.6500244,37.45001221,2,18.7250061,Sample documents\2022-MetLife-Annual-Report_website-version
"As used in this Form 10-K, “MetLife,” the “Company,” “we,” “our” and “us” refer to MetLife, Inc., a Delaware corporation incorporated in 1999, its subsidiaries and affiliates.",54,40,516.5,35.15000153,2,17.57500076,Sample documents\2022-MetLife-Annual-Report_website-version
Note Regarding Forward-Looking Statements,54,75.15000153,531.75,18.1989975,1,18.1989975,Sample documents\2022-MetLife-Annual-Report_website-version
"This  Annual  Report  on  Form  10-K,  including  Management’s  Discussion  and  Analysis  of  Financial  Condition  and Results of Operations, may contain or incorporate by reference information that includes or is based upon forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements give expectations or forecasts of future events and do not relate strictly to historical or current facts. They use words and terms such as “anticipate,” “assume,” “believe,” “continue,” “could,” “estimate,” “expect,” “if,” “intend,” “likely,” “may,” “plan,” “potential,” “project,” “should,” “will,” “would” and other words and terms of similar meaning or that are otherwise tied to future periods or future performance, in each case in all derivative forms. They include statements relating to future actions, prospective services or products, future performance or results of current and anticipated services or products, future sales efforts, future expenses, the outcome of contingencies such as legal proceedings, and future trends in operations and financial results.",54,93.34899902,516.4500122,129.1499939,10,12.91499939,Sample documents\2022-MetLife-Annual-Report_website-version
"Many factors determine Company results, and they involve unpredictable risks and uncertainties. Our forward-looking statements depend on our assumptions, our expectations, and our understanding of the economic environment, but they may be inaccurate and may change. We do not guarantee any future performance. Our results could differ materially from those we express or imply in forward-looking statements. The risks, uncertainties and other factors, including those relating to the COVID-19 pandemic, identified in MetLife, Inc.’s filings with the U.S. Securities and Exchange Commission, and others, may cause such differences. These factors include:",54,222.4989929,515.75,80.95001221,6,13.4916687,Sample documents\2022-MetLife-Annual-Report_website-version
"(1) economic condition difficulties, including risks relating to public health, interest rates, credit spreads, equity, real estate, obligors and counterparties, government default, currency exchange rates, derivatives, climate change and terrorism and security;",54,303.4490051,516.3499756,41.94998169,3,13.98332723,Sample documents\2022-MetLife-Annual-Report_website-version
(2) global capital and credit market adversity;,54,345.3989868,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(3) credit facility inaccessibility;,54,363.8479919,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(4) financial strength or credit ratings downgrades;,54,382.2969971,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(5) unavailability, unaffordability, or inadequate reinsurance;",54,400.7460022,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(6) statutory life insurance reserve financing costs or limited market capacity;,54,419.1950073,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(7) legal, regulatory, and supervisory and enforcement policy changes;",54,437.6440125,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(8) changes in tax rates, tax laws or interpretations;",54,456.0929871,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(9) litigation and regulatory investigations;,54,474.5419922,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(10) London Interbank Offered Rate discontinuation and transition to alternative reference rates;,54,492.9909973,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(11) unsuccessful efforts to meet all environmental, social, and governance standards or to enhance our sustainability;",54,511.4400024,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
"(12) MetLife, Inc.’s inability to pay dividends and repurchase common stock;",54,529.8889771,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
"(13) MetLife, Inc.’s subsidiaries’ inability to pay dividends to MetLife, Inc.;",54,548.3380127,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
"(14) investment defaults, downgrades, or volatility;",54,566.7869873,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
(15) investment sales or lending difficulties;,54,585.2360229,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
(16) collateral or derivative-related payments;,54,603.6849976,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
"(17) investment valuations, allowances, or impairments changes;",54,622.1339722,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
"(18) claims or other results that differ from our estimates, assumptions, or models;",54,640.5830078,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
"(19) global political, legal, or operational risks;",54,659.0319824,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
(20) business competition;,54,677.4810181,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
(21) technological changes;,54,695.9299927,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
(22) catastrophes;,54,714.3790283,531.75,18.44897461,1,18.44897461,Sample documents\2022-MetLife-Annual-Report_website-version
(23) climate changes or responses to it;,54,40,531.75,11.49900055,1,11.49900055,Sample documents\2022-MetLife-Annual-Report_website-version
(24) deficiencies in our closed block;,54,51.49900055,531.75,18.4489975,1,18.4489975,Sample documents\2022-MetLife-Annual-Report_website-version
"(25) goodwill or other asset impairment, or deferred income tax asset allowance;",54,69.94799805,531.75,18.4489975,1,18.4489975,Sample documents\2022-MetLife-Annual-Report_website-version
"(26) impairment of value of business acquired, value of distribution agreements acquired or value of customer relationships acquired;",54,88.39700317,516.2999878,30,2,15,Sample documents\2022-MetLife-Annual-Report_website-version
"(27) product guarantee volatility, costs, and counterparty risks;",54,118.3970032,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(28) risk management failures;,54,136.845993,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(29) insufficient protection from operational risks;,54,155.2949982,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(30) failure to protect confidentiality and integrity of data or other cybersecurity or disaster recovery failures;,54,173.7440033,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(31) accounting standards changes;,54,192.1929932,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(32) excessive risk-taking;,54,210.6419983,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(33) marketing and distribution difficulties;,54,229.0910034,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(34) pension and other postretirement benefit assumption changes;,54,247.5399933,531.75,18.44898987,1,18.44898987,Sample documents\2022-MetLife-Annual-Report_website-version
(35) inability to protect our intellectual property or avoid infringement claims;,54,265.9890137,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(36) acquisition, integration, growth, disposition, or reorganization difficulties;",54,284.4379883,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(37) Brighthouse Financial, Inc. separation risks;",54,302.8869934,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(38) MetLife, Inc.’s Board of Directors influence over the outcome of stockholder votes through the voting provisions of the MetLife Policyholder Trust; and",54,321.3359985,516.4500122,30,2,15,Sample documents\2022-MetLife-Annual-Report_website-version
(39) legal- and corporate governance-related effects on business combinations.,54,351.3359985,531.75,18.44900513,1,18.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"MetLife, Inc. does not undertake any obligation to publicly correct or update any forward-looking statement if MetLife, Inc. later becomes aware that such statement is not likely to be achieved. Please consult any further disclosures MetLife, Inc. makes on related subjects in subsequent reports to the U.S. Securities and Exchange Commission.",54,369.7850037,516.4500122,44.94998169,3,14.98332723,Sample documents\2022-MetLife-Annual-Report_website-version
Note Regarding Reliance on Statements in Our Contracts,183.4499969,414.7349854,402.2999878,18.19900513,1,18.19900513,Sample documents\2022-MetLife-Annual-Report_website-version
See “Exhibit Index — Note Regarding Reliance on Statements in Our Contracts” for information regarding agreements included as exhibits to this Annual Report on Form 10-K.,54,432.9339905,516.3499756,33.15002441,2,16.57501221,Sample documents\2022-MetLife-Annual-Report_website-version
Part I,293.3500061,40,292.3999939,448.9840088,2,224.4920044,Sample documents\2022-MetLife-Annual-Report_website-version
Item 1. Business Index to Business,268.7999878,63.34899902,84.40002441,42,2,21,Sample documents\2022-MetLife-Annual-Report_website-version
Page,517.1500244,105.348999,68.59997559,19.59899902,1,19.59899902,Sample documents\2022-MetLife-Annual-Report_website-version
Business Overview & Strategy 5 Segments and Corporate & Other 6 Policyholder Liabilities 11 Underwriting and Pricing 11 Reinsurance Activity 12 Regulation 13 Competition 28 Human Capital Resources 29 Information About Our Executive Officers 31 Trademarks 32 Available Information 32,56.65000153,124.947998,483.7500305,165,11,15,Sample documents\2022-MetLife-Annual-Report_website-version
Business Overview & Strategy,63,40,522.75,261.5979919,2,130.798996,Sample documents\2022-MetLife-Annual-Report_website-version
"As used in this Form 10-K, “MetLife,” the “Company,” “we,” “our” and “us” refer to MetLife, Inc., a Delaware corporation incorporated in 1999, its subsidiaries and affiliates.",63,52.09899902,511.7999878,33.15000153,2,16.57500076,Sample documents\2022-MetLife-Annual-Report_website-version
"MetLife is one of the world’s leading financial services companies, providing insurance, annuities, employee benefits and asset management. We hold leading market positions in the United States (“U.S.”), Japan, Latin America, Asia, Europe and the Middle East. We are also one of the largest institutional investors in the U.S. with a general account portfolio invested primarily in fixed income securities (corporate, structured products, municipals, and government and agency) and mortgage loans, as well as real estate, real estate joint ventures, other limited partnerships and equity securities.",63,85.24900055,511.9500122,68.95000458,5,13.79000092,Sample documents\2022-MetLife-Annual-Report_website-version
"Our well-recognized brand, globally diversified and market-leading businesses, competitive and innovative product offerings and financial strength and expertise should help drive future growth and enhance shareholder value. We will continue to execute on our Next Horizon strategy, creating value focusing on the following three pillars:",63,154.1990051,511.9500122,44.94999695,3,14.98333232,Sample documents\2022-MetLife-Annual-Report_website-version
● Focus,82.90000153,355.9989929,502.8500061,21.99899292,1,21.99899292,Sample documents\2022-MetLife-Annual-Report_website-version
– Generate strong free cash flow by deploying capital and resources to the highest value opportunities.,89.65000153,377.9979858,496.1000061,19.64898682,1,19.64898682,Sample documents\2022-MetLife-Annual-Report_website-version
● Simplify,79.5,397.6470032,506.25,19.44900513,1,19.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
– Simplify our business to deliver operational efficiency and an outstanding customer experience.,89.65000153,417.0960083,496.1000061,19.64898682,1,19.64898682,Sample documents\2022-MetLife-Annual-Report_website-version
● Differentiate,82.5,436.7449951,503.25,19.44900513,1,19.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"– Drive competitive advantage through our brand, scale, talent, and innovation.",89.65000153,456.1940002,496.1000061,19.64898682,1,19.64898682,Sample documents\2022-MetLife-Annual-Report_website-version
"MetLife is organized into five segments: U.S.; Asia; Latin America; Europe, the Middle East and Africa (“EMEA”); and MetLife Holdings. In addition, the Company reports certain of its results of operations in Corporate & Other. See “— Segments and Corporate & Other” and Note 2 of the Notes to the Consolidated Financial Statements for further information on the Company’s segments and Corporate & Other.",63,475.8429871,511.25,61.6000061,4,15.40000153,Sample documents\2022-MetLife-Annual-Report_website-version
"In the U.S., we provide a variety of insurance and financial services products, including life, dental, disability, vision, accident & health, capital market investment, risk solutions, stable value and annuities. Outside the U.S., we provide life, accident & health and credit insurance, as well as retirement & savings products.",63,690.2930298,511.9500122,47.09997559,3,15.69999186,Sample documents\2022-MetLife-Annual-Report_website-version
Segments and Corporate & Other U.S.,54,40,157.3999939,36,2,18,Sample documents\2022-MetLife-Annual-Report_website-version
"Our businesses in the U.S. segment offer a broad range of protection products and services aimed at serving the financial needs of our customers throughout their lives. These products are sold to corporations and their respective employees, other institutions and their respective members, as well as individuals. Our U.S. segment is organized into two businesses: Group Benefits and Retirement and Income Solutions (“RIS”).",54,76,516.4000244,54.1000061,4,13.52500153,Sample documents\2022-MetLife-Annual-Report_website-version
Group Benefits,63,130.1000061,522.75,18.19900513,1,18.19900513,Sample documents\2022-MetLife-Annual-Report_website-version
We have built a leading position in the U.S. group insurance market through long-standing relationships with many of the largest corporate employers in the U.S.,63,148.298996,507.4500122,30.15000916,2,15.07500458,Sample documents\2022-MetLife-Annual-Report_website-version
"Our Group Benefits business offers life insurance, dental, group short- and long-term disability (“LTD”), individual disability, accidental death and dismemberment (“AD&D”) insurance, vision, and accident & health insurance, as well as prepaid legal plans and pet insurance. We also sell administrative services-only (“ASO”) arrangements to some employers.",63,178.4490051,507.4500122,41.94999695,3,13.98333232,Sample documents\2022-MetLife-Annual-Report_website-version
"We distribute Group Benefits products and services through a sales force primarily comprised of MetLife employees that is segmented by the size of the target customer. Account executives sell either directly to corporate and other group customers  or  through  an  intermediary,  such  as  a  broker  or  consultant.  Employers  have  been  emphasizing  voluntary products and, as a result, we have increased our focus on communicating and marketing to employees in order to further foster sales of those products.",63,220.3990021,507.4000244,65.94999695,5,13.18999939,Sample documents\2022-MetLife-Annual-Report_website-version
"We  have  entered  into  several  operating  joint  ventures  and  other  arrangements  with  third  parties  to  expand opportunities to market and distribute Group Benefits products and services. We also sell our Group Benefits products and services  through  sponsoring  associations  and  affinity  groups  and  provide  life,  dental,  accident  &  health,  and  vision coverage to certain employees of the U.S. Government. We have longstanding relationships with these employees and continue to cultivate and expand them through additional product offerings.",63,286.348999,507.4500122,65.95001221,5,13.19000244,Sample documents\2022-MetLife-Annual-Report_website-version
"Group Benefits business quarterly claims experience may vary, as seasonal illnesses effect mortality and morbidity and due  to  utilization  rate  fluctuation  in  our  non-medical  health  businesses.  Annual  benefit  renewal  implementation, enrollment, and marketing costs normally elevate Group Benefits business’ expenses in the fourth quarter.",63,352.2990112,507.4000244,41.94998169,3,13.98332723,Sample documents\2022-MetLife-Annual-Report_website-version
Major Products,56.65000153,40,529.0999756,380.9989929,2,190.4994965,Sample documents\2022-MetLife-Annual-Report_website-version
Term Life Insurance A guaranteed benefit upon the death of the insured for a specified time period in return for the,56.65000153,67.1989975,529.0999756,13.59899902,1,13.59899902,Sample documents\2022-MetLife-Annual-Report_website-version
periodic payment of premiums. Premiums may be guaranteed at a level amount for the coverage period or may be non-level and non-guaranteed. Term contracts expire without value at the end of the coverage period when the insured party is still living.,163.8999939,80.79799652,402.3500061,34.5470047,3,11.51566823,Sample documents\2022-MetLife-Annual-Report_website-version
Variable Life Insurance Insurance  coverage  through  a  contract  that  gives  the  policyholder  flexibility  in  investment,56.65000153,115.3450012,529.0999756,14.64900208,1,14.64900208,Sample documents\2022-MetLife-Annual-Report_website-version
"choices and, depending on the product, in premium payments and coverage amounts, with certain guarantees. Premiums and account balances can be directed by the policyholder into a variety of separate  account  investment  options  or  directed  to  the  Company’s  general  account.  In  the separate account investment options, the policyholder bears the entire risk of the investment results. With some products, by maintaining certain premium level, policyholders may have the advantage  of  various  guarantees  that  may  protect  the  death  benefit  from  adverse  investment experience.",163.8999939,129.9940033,403.9499817,69.04399109,6,11.50733185,Sample documents\2022-MetLife-Annual-Report_website-version
"Universal Life Insurance Insurance coverage on the same basis as variable life, except that premiums, and the resulting",56.65000153,199.0379944,529.0999756,13.64900208,1,13.64900208,Sample documents\2022-MetLife-Annual-Report_website-version
"accumulated balances, are allocated only to the Company’s general account. With some products, by  maintaining  a  certain  premium  level,  policyholders  may  have  the  advantage  of  various guarantees that may protect the death benefit from adverse investment experience.",163.8999939,212.6869965,403.3500061,34.54699707,3,11.51566569,Sample documents\2022-MetLife-Annual-Report_website-version
"Dental  Insurance and ASO arrangements that assist employees, retirees and their families in maintaining",56.65000153,247.2339935,529.0999756,18.39900208,1,18.39900208,Sample documents\2022-MetLife-Annual-Report_website-version
oral health while reducing out-of-pocket expenses.,163.8999939,265.6329956,421.8500061,11.54901123,1,11.54901123,Sample documents\2022-MetLife-Annual-Report_website-version
Disability  Insurance  and  ASO  arrangements  for  groups  and  individuals  to  provide  benefits  for  income,56.65000153,277.1820068,529.0999756,18.14898682,1,18.14898682,Sample documents\2022-MetLife-Annual-Report_website-version
"replacement, payment of business overhead expenses or mortgage protection, in the event of the disability of the insured.",163.8999939,295.3309937,403.8500061,23.04800415,2,11.52400208,Sample documents\2022-MetLife-Annual-Report_website-version
