Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Objective,Amount spent (INR),Ad set name,Impressions,Reach,Result Type,Results,Clicks (all),Link clicks,Landing page views,Frequency,CTR (link click-through rate),CTR (all),CPC (all),Cost per result,Messaging conversations started,Quality ranking,Engagement rate ranking,Conversion rate ranking,URL parameters,Reporting starts,Reporting ends
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,2044.51,Brand Awareness - 10 June - Kalyani Nagar,548290,381427,Reach,381427,481,177,,1.43747034,0.03228219,0.0877273,4.25054482,5.36,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,25-34,male,active,ad,OUTCOME_ENGAGEMENT,1952.37,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,73438,48894,Post engagements,14309,93,1,,1.50198388,0.00136169,0.12663744,20.99323045,0.14,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,1802.42,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,437026,437026,Reach,437026,413,152,,1,0.03478054,0.09450239,4.3642237,4.12,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,1753.56,Brand Awarness Ad_Kalyani Nagar,590831,364021,Reach,364021,356,124,,1.62306845,0.02098739,0.06025412,4.92573993,4.82,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,1695.94,Brand Awareness - 10 June - Versova,94979,62840,Reach,62840,107,39,,1.51144176,0.04106171,0.11265648,15.8499512,26.99,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,1453.66,Brand Awarness Ad_varsova,491164,287226,Reach,287226,281,87,,1.71002625,0.01771302,0.05721103,5.17315105,5.06,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,1336.91,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,318303,318303,Reach,318303,241,73,,1,0.02293412,0.07571402,5.54734994,4.20,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,18-24,male,not_delivering,ad,OUTCOME_ENGAGEMENT,1265.39,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,119787,102699,ThruPlay,7976,200,,,1.16638916,,0.16696303,6.32693318,0.16,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,1232.04,Brand Awareness - Balewadi Vibe,385929,318582,Reach,318582,250,88,,1.21139612,0.02280212,0.06477875,4.92816583,3.87,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,1185.71,Brand Awareness - 10 June - Versova,71252,47290,Reach,47290,93,36,,1.50670332,0.0505249,0.13052265,12.74955435,25.07,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,1000.54,Brand Awareness - Powai Vibe,273886,241404,Reach,241404,165,59,,1.13455452,0.02154181,0.06024404,6.06386782,4.14,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,983.71,Brand Awareness - 10 June - Versova,56746,42235,Reach,42235,64,21,,1.3435776,0.03700701,0.11278328,15.37043379,23.29,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,951.41,Brand Awarness Ad_Kalyani Nagar,317271,177915,Reach,177915,188,54,,1.78327291,0.01702015,0.05925534,5.06068776,5.35,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,944.81,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,102091,84463,ThruPlay,5616,186,,,1.20870677,,0.1821904,5.07964314,0.17,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,874.86,Brand Awareness - 10 June - Kalyani Nagar,227284,171514,Reach,171514,163,47,,1.32516296,0.02067897,0.07171644,5.3672538,5.10,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,840.89,Brand Awareness - 10 June - Balewadi,220201,168697,Reach,168697,163,48,,1.30530478,0.02179827,0.07402328,5.15886465,4.98,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,785.06,Brand Awarness Ad_varsova,266755,175613,Reach,175613,133,41,,1.51899347,0.01536991,0.04985848,5.90272286,4.47,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,774.73,Brand Awareness - 10 June - Kalyani Nagar,204580,139515,Reach,139515,145,45,,1.46636562,0.02199629,0.07087692,5.3429426,5.55,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,739.54,Brand Awareness - 10 June - Balewadi,196370,131067,Reach,131067,150,42,,1.49824136,0.0213882,0.07638641,4.93026109,5.64,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,725.72,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,175260,175260,Reach,175260,146,55,,1,0.03138195,0.0833048,4.97070947,4.14,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,699.83,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,20262,4591,ThruPlay,1102,57,,,4.41341756,,0.28131478,12.27767186,0.64,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",25-34,male,not_delivering,ad,MESSAGES,697.59,Instagram Post,12982,9470,,,39,18,,1.37085533,0.13865352,0.30041596,17.88700816,,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,662.13,Brand Awareness - 10 June - Versova,37618,20349,Reach,20349,61,24,,1.84864121,0.06379925,0.16215641,10.85466,32.54,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,662.10,Brand Awareness - 10 June - Balewadi,174444,143354,Reach,143354,129,39,,1.21687571,0.02235674,0.07394923,5.13257669,4.62,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,656.63,Brand Awarness Ad_Kalyani Nagar,215302,160891,Reach,160891,133,37,,1.33818548,0.01718516,0.06177369,4.93705873,4.08,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,18-24,female,not_delivering,ad,OUTCOME_AWARENESS,652.52,Brand Awareness - Balewadi Vibe,199158,159483,Reach,159483,123,49,,1.2487726,0.02460358,0.06176001,5.30507553,4.09,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,651.27,Brand Awareness - 10 June - Kalyani Nagar,171322,140027,Reach,140027,127,34,,1.22349261,0.01984567,0.07412942,5.12812588,4.65,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",25-34,male,not_delivering,ad,MESSAGES,624.95,Instagram Post,13810,12076,Messaging conversations started,2,62,17,,1.14359059,0.1230992,0.44895004,10.07978264,312.47,2,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,618.09,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,13944,10781,Post engagements,2344,60,,,1.29338651,,0.4302926,10.30143378,0.26,,-,-,-,,2022-09-25,2024-09-13
Instant History Event - 9 May,Instant History Event - 9 May,Instant History Event - 9 May,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,593.31,Instant History Event - 9 May,9467,8007,Post engagements,1425,61,18,,1.18234045,0.19013415,0.64434351,9.72639344,0.42,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,588.34,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,13062,10333,Post engagements,2198,109,,,1.26410529,,0.8344817,5.39757656,0.27,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,575.51,Brand Awareness - Balewadi Vibe,176164,155771,Reach,155771,95,36,,1.13091654,0.0204355,0.05392702,6.05797184,3.69,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,563.71,Brand Awareness - Powai Vibe,158385,139518,Reach,139518,90,29,,1.13522986,0.01830981,0.05682356,6.26341902,4.04,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,541.29,Kalyani Nagar - Awareness Ad,183742,183742,Reach,183742,185,64,,1,0.03483145,0.10068466,2.9258658,2.95,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,535.10,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,15729,3807,ThruPlay,842,38,,,4.13159968,,0.24159196,14.08150957,0.64,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,529.04,Brand Awareness - 10 June - Versova,28973,19006,Reach,19006,36,13,,1.52441334,0.04486936,0.12425362,14.69565289,27.84,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",25-34,female,not_delivering,ad,MESSAGES,484.52,Instagram Post,5643,4367,Messaging conversations started,2,24,9,,1.29219144,0.15948963,0.42530569,20.18835963,242.26,2,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,465.08,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,10095,6895,Post engagements,2006,56,,,1.46410442,,0.55473006,8.30498396,0.23,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,457.00,Kalyani Nagar - Remarketing,11012,10443,Reach,10443,80,15,,1.05448626,0.13621504,0.7264802,5.71246067,43.76,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,453.07,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,107278,103932,Reach,103932,104,37,,1.03219413,0.03448983,0.09694439,4.35647604,4.36,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,434.95,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,8748,6207,Post engagements,1807,23,,,1.40937651,,0.26291724,18.91091755,0.24,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Break that ice with a clink and a...,Instagram Post,Instagram post: Break that ice with a clink and a...,18-24,male,not_delivering,ad,LINK_CLICKS,413.53,Instagram Post,31333,22158,Link clicks,60,60,60,,1.41407167,0.1914914,0.1914914,6.89220814,6.89,,-,-,-,,2022-09-25,2024-09-13
IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,395.35,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,9849,8300,Post engagements,1090,111,12,,1.18662651,0.12183978,1.12701797,3.56169076,0.36,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,388.29,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,38465,33529,ThruPlay,2352,76,,,1.14721584,,0.19758222,5.10913994,0.17,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,25-34,female,active,ad,OUTCOME_ENGAGEMENT,363.40,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,14781,9776,Post engagements,2662,20,1,,1.51196809,0.00676544,0.13530884,18.16977935,0.14,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,35-44,male,active,ad,OUTCOME_ENGAGEMENT,347.56,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,12474,8845,Post engagements,2529,24,,,1.4102883,,0.19240019,14.4815776,0.14,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,345.21,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,18413,15485,ThruPlay,2264,33,,,1.18908621,,0.1792212,10.46079781,0.15,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Break that ice with a clink and a...,Instagram Post,Instagram post: Break that ice with a clink and a...,25-34,male,not_delivering,ad,LINK_CLICKS,344.41,Instagram Post,18596,13727,Link clicks,49,49,49,,1.35470241,0.26349753,0.26349753,7.02878428,7.03,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,332.24,Brand Awarness Ad_varsova,112088,76286,Reach,76286,79,26,,1.46931285,0.02319606,0.07048034,4.20552752,4.36,,-,-,-,,2022-09-25,2024-09-13
IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,324.61,IBC - T20 World Cup - Video Awareness- Pune+Mumbai,78776,78776,Reach,78776,52,19,,1,0.02411902,0.06600995,6.24246508,4.12,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",25-34,female,not_delivering,ad,MESSAGES,321.25,Instagram Post,4271,3679,,,25,5,,1.16091329,0.1170686,0.58534301,12.85009252,,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,18-24,male,not_delivering,ad,LINK_CLICKS,317.45,Instagram Post,19569,15790,Link clicks,58,56,58,,1.23932869,0.29638714,0.2861669,5.66876367,5.47,,-,-,-,,2022-09-25,2024-09-13
IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,314.52,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,7778,7020,Post engagements,971,214,6,,1.10797721,0.07714065,2.75134996,1.46970455,0.32,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",18-24,male,not_delivering,ad,MESSAGES,301.18,Instagram Post,12592,10765,Messaging conversations started,1,36,8,,1.16971667,0.0635324,0.28589581,8.3659977,301.18,1,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,298.18,Brand Awarness Ad_Kalyani Nagar,96432,65534,Reach,65534,41,6,,1.47148045,0.006222,0.04251701,7.27269214,4.55,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,25-34,male,not_delivering,ad,LINK_CLICKS,295.55,Instagram Post,11894,10167,Link clicks,43,42,43,,1.16986328,0.36152682,0.35311922,7.03697926,6.87,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,274.42,Brand Awareness - 10 June - Versova,17117,12990,Reach,12990,19,12,,1.31770593,0.07010574,0.11100076,14.44317478,21.13,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,273.84,Brand Awareness - Powai Vibe,75246,68351,Reach,68351,40,9,,1.10087636,0.01196077,0.05315897,6.84610077,4.01,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,264.53,Brand Awareness - Balewadi Vibe,78908,67582,Reach,67582,50,19,,1.167589,0.02407867,0.06336493,5.29059155,3.91,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,252.29,Kalyani Nagar - Awareness Ad,84046,82366,Reach,82366,58,21,,1.02039677,0.02498632,0.06900983,4.34989254,3.06,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,250.89,Brand Awareness - Powai Vibe,70904,60415,Reach,60415,49,17,,1.17361582,0.02397608,0.06910753,5.12029655,4.15,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",18-24,male,not_delivering,ad,MESSAGES,247.76,Instagram Post,8493,5399,Messaging conversations started,2,21,9,,1.57306909,0.10596962,0.24726245,11.79808898,123.88,2,-,-,-,,2022-09-25,2024-09-13
